Area_of_Origin,Civilian_Casualties,Count_of_Persons_Rescued,Estimated_Dollar_Loss,Estimated_Number_Of_Persons_Displaced,Fire_Alarm_System_Presence,Ignition_Source,Latitude,Longitude,Material_First_Ignited,Possible_Cause
Office,1,0,60000,6,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Blow Torch, Bunsen Burner",43.73375,-79.53823,Cabinetry,Improper handling of ignition source or ignited material
Cooking Area or Kitchen,0,0,60000,6,Fire alarm system present,"Stove, Range-top burner",43.7577,-79.24303,Cabinetry,Unattended
Cooking Area or Kitchen,2,0,60000,6,Fire alarm system present,"Stove, Range-top burner",43.75383,-79.60577,"Cooking Oil, Grease",Unattended
"Living Area (e.g. living, TV, recreation, etc)",0,0,60000,12,Not applicable (bldg not classified by OBC OR detached/semi/town home),Circuit Wiring - Copper,43.71775,-79.48656,Interior Wall/Ceiling,Design/Construction/Installation/Maintenance Deficiency
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",1,0,60000,12,Fire alarm system present,"Television, Radio, Stereo, Tape Recorder, etc.",43.64552,-79.40337,Electrical Wiring Insulation,Electrical Failure
"Parking Area, Parking Lot",0,0,60000,12,Fire alarm system present,Undetermined,43.68956,-79.43955,Undetermined (formerly 98),Undetermined
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,60000,13,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Cord, Cable for Appliance, Electrical Articles",43.77864796,-79.42063748,"Mattress, Pillow",Electrical Failure
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,60000,25,Fire alarm system present,Undetermined,43.63834545,-79.43035642,Bedding,Undetermined
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,60000,50,Fire alarm system present,Air Conditioner - Window or Room Unit,43.71677,-79.44378,Other,Electrical Failure
Porch or Balcony,0,0,60000,98,Fire alarm system present,Candle,43.74161,-79.23261,"Rubbish, Trash, Waste",Improper handling of ignition source or ignited material
Mechanical/Electrical Services Room,0,0,60000,250,Fire alarm system present,Other Electrical Distribution Item,43.77124,-79.52252,Electrical Wiring Insulation,Electrical Failure
Cooking Area or Kitchen,0,0,60000,997,No Fire alarm system,Circuit Wiring - Copper,43.64849,-79.43581,Interior Wall/Ceiling,Design/Construction/Installation/Maintenance Deficiency
Storage Area (outside),0,0,65000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Other Mechanical,43.65974254,-79.57882443,Undetermined (formerly 98),Mechanical Failure
"Stairway, Escalator",0,0,65000,0,Undetermined,Matches or Lighters (unable to distinguish),43.6627783,-79.42205998,"Paper, Cardboard",Suspected Arson
Laundry Area,0,0,65000,0,Fire alarm system present,Clothes Dryer,43.64319,-79.4024,"Other Soft Goods, Wearing Apparel",Unattended
Garage,0,0,65000,0,No Fire alarm system,"Hot Ashes, Embers, Spark",43.73173,-79.49573,"Oily rags (inc. paint rags, etc)",Improper handling of ignition source or ignited material
"Living Area (e.g. living, TV, recreation, etc)",0,0,65000,1,Undetermined,Undetermined,43.69488,-79.45396,Undetermined (formerly 98),Undetermined
Cooking Area or Kitchen,1,0,65000,1,No Fire alarm system,Oven,43.73717,-79.42622,Cabinetry,Used for purpose not intended
"Living Area (e.g. living, TV, recreation, etc)",0,0,65000,2,Fire alarm system present,"Incandescent Lamp - Light Bulb, Spotlight",43.66835,-79.38206,"Upholstered Sofa, Chair, etc.","Unintentional, cause undetermined"
"Hallway, Corridor",1,0,65000,3,No Fire alarm system,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.65647949,-79.36051378,"Other Soft Goods, Wearing Apparel",Improperly Discarded
Cooking Area or Kitchen,0,0,65000,3,Fire alarm system present,"Stove, Range-top burner",43.762241,-79.50052088,Other Building Component,Unattended
Cooking Area or Kitchen,0,0,65000,4,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.77154,-79.17226,"Cooking Oil, Grease","Other unintentional cause, not classified"
"Sales, Showroom Area",0,0,65000,7,Fire alarm system present,"Extension Cord, Temporary Wiring",43.68043,-79.34809,Electrical Wiring Insulation,Electrical Failure
"Parking Area, Parking Lot",0,0,70000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Portable generator,43.66189,-79.46173,Undetermined (formerly 98),Undetermined
Undetermined  (formerly 98),0,0,70000,0,No Fire alarm system,Undetermined,43.77356,-79.47655,Undetermined (formerly 98),Undetermined
Engine Area,0,0,70000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.65691,-79.34986,Undetermined (formerly 98),Undetermined
"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,70000,0,Fire alarm system present,"Exposure, source structure semi-detached or attached",43.76588,-79.27056,"Paper, Cardboard","Other unintentional cause, not classified"
Basement/cellar (not partitioned),0,0,70000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Other Open Flame Tools/Smokers' Articles,43.63568,-79.54659,"Upholstered Sofa, Chair, etc.","Unintentional, cause undetermined"
"Court, Patio, Terrace",0,0,70000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.62244,-79.51996,Other Building Component,"Unintentional, cause undetermined"
Storage Area (outside),0,0,70000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.75981,-79.54955,Wood,Undetermined
Attic Area,0,0,70000,1,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Distribution Equipment (includes panel boards, fuses, circuit br",43.66281,-79.34708,Structural Member,Electrical Failure
"Living Area (e.g. living, TV, recreation, etc)",1,0,70000,1,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.65871,-79.44961,"Upholstered Sofa, Chair, etc.",Improper handling of ignition source or ignited material
Garage,1,2,70000,2,Fire alarm system present,Undetermined,43.80158216,-79.40072235,Undetermined (formerly 98),Electrical Failure
Porch or Balcony,0,0,70000,2,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.77356847,-79.34459209,Undetermined (formerly 98),Improper handling of ignition source or ignited material
Cooking Area or Kitchen,0,0,70000,2,Fire alarm system present,"Refrigerator, Freezer (includes vending machine)",43.64576293,-79.39364004,Insulation,Mechanical Failure
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,70000,2,No Fire alarm system,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.67078,-79.42123,Floor,Improperly Discarded
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",1,0,70000,3,Not applicable (bldg not classified by OBC OR detached/semi/town home),Candle,43.68475,-79.56099,"Mattress, Pillow",Unattended
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,70000,3,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.68206,-79.46654,"Paper, Cardboard",Improper handling of ignition source or ignited material
Exterior Wall,0,0,70000,4,No Fire alarm system,Undetermined,43.8013,-79.34776,Wood,Undetermined
Crawl Space (includes sub-structure),0,0,70000,4,Undetermined,Circuit Wiring - Copper,43.60837,-79.49512,Multiple Objects or Materials,Electrical Failure
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,70000,4,Undetermined,"Cord, Cable for Appliance, Electrical Articles",43.74687,-79.54944,"Mattress, Pillow",Undetermined
"Living Area (e.g. living, TV, recreation, etc)",0,2,70000,5,No Fire alarm system,Other Electrical Distribution Item,43.69599,-79.27889,Electrical Wiring Insulation,Electrical Failure
"Living Area (e.g. living, TV, recreation, etc)",0,0,70000,5,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Blow Torch, Bunsen Burner",43.66406863,-79.41611388,Interior Wall/Ceiling,Improper handling of ignition source or ignited material
Cooking Area or Kitchen,0,0,70000,5,No Fire alarm system,"Stove, Range-top burner",43.72622,-79.55167,Cabinetry,Improper handling of ignition source or ignited material
Other - unclassified,0,0,70000,6,No Fire alarm system,Other,43.76463,-79.31382,Other,"Other unintentional cause, not classified"
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,70000,7,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Cord, Cable for Appliance, Electrical Articles",43.79007,-79.24076,Insulation,Electrical Failure
"Living Area (e.g. living, TV, recreation, etc)",0,0,70000,8,Fire alarm system present,Undetermined,43.63873,-79.43661,Multiple Objects or Materials,Undetermined
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,70000,12,Fire alarm system present,Undetermined,43.6699,-79.31805,Bedding,Undetermined
"Conveyor Shaft or Chute (inc dumbwaiter, laundry chute, garbage",0,0,75000,0,Fire alarm system present,"Hot Ashes, Embers, Spark",43.76112686,-79.52634302,Wood,"Other unintentional cause, not classified"
Garage,0,0,75000,0,No Fire alarm system,Matches or Lighters (unable to distinguish),43.78005107,-79.4889733,Gasoline,Suspected Arson
Mechanical/Electrical Services Room,0,0,75000,0,Fire alarm system present,"Distribution Equipment (includes panel boards, fuses, circuit br",43.71380426,-79.31062555,Electrical Wiring Insulation,Electrical Failure
Electrical Systems,0,0,75000,0,Fire alarm system present,Other Electrical,43.79677299,-79.31576611,Undetermined (formerly 98),Electrical Failure
Cooking Area or Kitchen,0,0,75000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.6663268,-79.48241849,"Cooking Oil, Grease",Unattended
"Closet (eg. clothes, broom, linen closet, etc.)",1,0,75000,0,Fire alarm system present,"Refrigerator, Freezer (includes vending machine)",43.70500665,-79.3498772,Linen Other than Bedding,"Unintentional, cause undetermined"
Passenger Area,0,0,75000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.62051,-79.48327,Undetermined (formerly 98),Undetermined
Other - unclassified,0,0,75000,0,Undetermined,"Refrigerator, Freezer (includes vending machine)",43.66066,-79.43167,Electrical Wiring Insulation,Electrical Failure
Garage,0,0,75000,0,No Fire alarm system,"Cord, Cable for Appliance, Electrical Articles",43.6442,-79.43536,Electrical Wiring Insulation,Electrical Failure
Engine Area,0,0,75000,0,No Fire alarm system,Vehicle - Mechanical,43.80761,-79.19943,Diesel Fuel/Fuel Oil,Mechanical Failure
Garage,0,0,75000,0,No Fire alarm system,Undetermined,43.68469,-79.37996,Undetermined (formerly 98),Undetermined
Undetermined  (formerly 98),0,0,75000,0,No Fire alarm system,Undetermined,43.67003,-79.46651,Undetermined (formerly 98),Undetermined
Garage,0,0,75000,0,No Fire alarm system,Undetermined,43.79297,-79.18525,Undetermined (formerly 98),Undetermined
"Washroom or Bathroom (toilet,restroom/locker room)",0,0,75000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Circuit Wiring - Copper,43.68307,-79.44031,Interior Wall/Ceiling,Electrical Failure
Attic Area,0,0,75000,0,No Fire alarm system,Circuit Wiring - Copper,43.71529,-79.56633,Electrical Wiring Insulation,Electrical Failure
Cooking Area or Kitchen,0,0,75000,0,Undetermined,Oven,43.64977,-79.43369,Structural Member,Design/Construction/Installation/Maintenance Deficiency
Cooking Area or Kitchen,0,0,75000,0,Fire alarm system present,Microwave,43.69893,-79.45944,Other,"Other unintentional cause, not classified"
Cooking Area or Kitchen,0,0,75000,0,Fire alarm system present,Undetermined,43.70361,-79.41323,Undetermined (formerly 98),Undetermined
Garage,0,0,75000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.728,-79.50813,Multiple Objects or Materials,Undetermined
Cooking Area or Kitchen,0,0,75000,0,Fire alarm system present,"Stove, Range-top burner",43.64021,-79.39443,Other,"Other unintentional cause, not classified"
"Process Manufacturing (inc manf, prod assembly, repair)",0,0,75000,0,Fire alarm system present,Static Electricity (spark),43.75394,-79.2659,Other,Mechanical Failure
Storage Area (outside),0,0,75000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Cutting/Welding Equipment,43.69903,-79.4348,"Paper, Cardboard",Improper handling of ignition source or ignited material
Cooking Area or Kitchen,0,0,75000,1,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.80629939,-79.32971807,Interior Wall/Ceiling,Unattended
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",1,0,75000,1,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.6644,-79.38164,Undetermined (formerly 98),Undetermined
Cooking Area or Kitchen,0,0,75000,1,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.65812,-79.55926,Multiple Objects or Materials,Other misuse of ignition source/material ignited
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",1,0,75000,1,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.69755,-79.50166,"Upholstered Sofa, Chair, etc.",Improper handling of ignition source or ignited material
Garage,0,0,75000,1,No Fire alarm system,Undetermined,43.65204,-79.5267,Undetermined (formerly 98),Undetermined
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,75000,1,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.63666,-79.4386,"Mattress, Pillow",Unattended
"Living Area (e.g. living, TV, recreation, etc)",2,2,75000,2,No Fire alarm system,Undetermined,43.76177,-79.23987,Interior Wall/Ceiling,Undetermined
Cooking Area or Kitchen,0,1,75000,2,Not applicable (bldg not classified by OBC OR detached/semi/town home),Oven,43.66537,-79.44345,Cabinetry,"Other unintentional cause, not classified"
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,75000,2,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.78770136,-79.25973064,Undetermined (formerly 98),Undetermined
"Living Area (e.g. living, TV, recreation, etc)",0,0,75000,2,Fire alarm system present,Undetermined,43.70776034,-79.40083908,Undetermined (formerly 98),Undetermined
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",1,0,75000,2,No Fire alarm system,Undetermined,43.62184,-79.50319,"Mattress, Pillow",Improperly Discarded
Cooking Area or Kitchen,3,0,75000,2,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.78374,-79.16469,Cabinetry,Unattended
Attached Deck,0,0,75000,2,No Fire alarm system,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.6593,-79.40248,Wood,Improperly Discarded
Porch or Balcony,0,0,75000,2,No Fire alarm system,Undetermined,43.8077,-79.1739,Other Building Component,Undetermined
"Washroom or Bathroom (toilet,restroom/locker room)",0,0,75000,2,No Fire alarm system,"Extension Cord, Temporary Wiring",43.66496,-79.46027,Electrical Wiring Insulation,Electrical Failure
Cooking Area or Kitchen,0,0,75000,2,Not applicable (bldg not classified by OBC OR detached/semi/town home),Range Hood,43.74132,-79.26219,Cabinetry,"Other unintentional cause, not classified"
"Living Area (e.g. living, TV, recreation, etc)",0,0,75000,2,Fire alarm system present,Space Heater - Portable,43.75419,-79.51371,Christmas Tree,Undetermined
Cooking Area or Kitchen,0,0,75000,2,Fire alarm system present,"Stove, Range-top burner",43.69481,-79.47276,Interior Wall/Ceiling,Improper handling of ignition source or ignited material
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,75000,2,Undetermined,Undetermined,43.7837,-79.42198,"Mattress, Pillow",Improper handling of ignition source or ignited material
Cooking Area or Kitchen,0,0,75000,2,Fire alarm system present,"Stove, Range-top burner",43.63747,-79.40522,"Cooking Oil, Grease",Improper handling of ignition source or ignited material
Cooking Area or Kitchen,0,0,75000,2,Fire alarm system present,"Other Cooking Items (eg Toaster, Kettle, elec frying pan)",43.6024,-79.49727,Cabinetry,"Other unintentional cause, not classified"
Porch or Balcony,1,0,75000,2,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.72674,-79.55209,Multiple diverse objects ignited,Improper handling of ignition source or ignited material
Cooking Area or Kitchen,1,0,75000,2,Fire alarm system present,"Stove, Range-top burner",43.60068,-79.51802,Cabinetry,Used or Placed too close to combustibles
Cooking Area or Kitchen,0,1,75000,3,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.76084,-79.3396,"Cooking Oil, Grease",Unattended
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,75000,3,No Fire alarm system,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.76321229,-79.19852216,"Mattress, Pillow",Improperly Discarded
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",1,0,75000,3,Fire alarm system present,Undetermined,43.73218901,-79.61427444,Multiple diverse objects ignited,Undetermined
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,75000,3,Fire alarm system present,Candle,43.65944,-79.35997,"Mattress, Pillow",Improper handling of ignition source or ignited material
Basement/cellar (not partitioned),0,0,75000,3,Fire alarm system present,Other Electrical Distribution Item,43.75037,-79.44717,Interior Wall/Ceiling,Electrical Failure
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,75000,3,No Fire alarm system,Candle,43.65835,-79.43478,Bedding,Unattended
Cooking Area or Kitchen,0,0,75000,3,Fire alarm system present,Undetermined,43.66206,-79.44586,Undetermined (formerly 98),Undetermined
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,75000,3,Fire alarm system present,Undetermined,43.702,-79.42089,Bedding,"Unintentional, cause undetermined"
"Closet (eg. clothes, broom, linen closet, etc.)",0,0,75000,3,Fire alarm system present,Undetermined,43.66552,-79.49921,Other,Undetermined
Cooking Area or Kitchen,0,0,75000,3,No Fire alarm system,Service/Utility Lines (includes power/hydro transmission lines),43.66106,-79.46004,Structural Member,Electrical Failure
Basement/cellar (not partitioned),0,0,75000,3,Undetermined,Other Heating Equipment,43.64109,-79.43418,Wood,"Other unintentional cause, not classified"
Concealed Ceiling Area,0,0,75000,3,Fire alarm system present,Circuit Wiring - Copper,43.59932,-79.51186,Interior Wall/Ceiling,Electrical Failure
"Lobby, Entranceway",0,0,75000,3,Undetermined,"Terminations-Copper (incl receptacles, switches, lights)",43.73598,-79.27653,Undetermined (formerly 98),Undetermined
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",1,0,75000,3,No Fire alarm system,Undetermined,43.67511,-79.40598,"Mattress, Pillow",Undetermined
"Living Area (e.g. living, TV, recreation, etc)",0,0,75000,3,Not applicable (bldg not classified by OBC OR detached/semi/town home),Fireplace - Masonry,43.68671,-79.44063,"Paper, Cardboard",Improper handling of ignition source or ignited material
"Living Area (e.g. living, TV, recreation, etc)",0,0,75000,4,Not applicable (bldg not classified by OBC OR detached/semi/town home),Circuit Wiring - Copper,43.69114264,-79.45199482,Structural Member,Electrical Failure
"Living Area (e.g. living, TV, recreation, etc)",0,0,75000,4,No Fire alarm system,Undetermined,43.67344414,-79.31681208,Other Furniture,Undetermined
"Closet (eg. clothes, broom, linen closet, etc.)",0,0,75000,4,No Fire alarm system,Candle,43.67023275,-79.43560424,Linen Other than Bedding,Improper handling of ignition source or ignited material
"Court, Patio, Terrace",0,0,75000,4,Not applicable (bldg not classified by OBC OR detached/semi/town home),Open Fired Barbeque - Fixed or Portable,43.69039716,-79.46250619,Wood,Unattended
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,75000,4,Fire alarm system present,Space Heater - Portable,43.78105441,-79.29810645,"Curtain, Drapery",Used or Placed too close to combustibles
Office,0,0,75000,4,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Distribution Equipment (includes panel boards, fuses, circuit br",43.73775892,-79.55935433,Electrical Wiring Insulation,Electrical Failure
Porch or Balcony,0,0,75000,4,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.6610628,-79.46003628,Wood,Improperly Discarded
Attic Area,0,0,75000,4,No Fire alarm system,Lightning,43.69355,-79.49836,Insulation,Natural Cause
Cooking Area or Kitchen,0,0,75000,4,Fire alarm system present,"Stove, Range-top burner",43.70747,-79.34363,Cabinetry,Unattended
Porch or Balcony,0,0,75000,4,Fire alarm system present,Undetermined,43.65616,-79.37012,"Upholstered Sofa, Chair, etc.",Undetermined
Cooking Area or Kitchen,0,0,75000,4,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Cord, Cable for Appliance, Electrical Articles",43.79023,-79.32907,Undetermined (formerly 98),Electrical Failure
Basement/cellar (not partitioned),0,0,75000,4,Fire alarm system present,Undetermined,43.63651,-79.50905,Undetermined (formerly 98),Undetermined
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,75000,4,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.72184,-79.58277,Undetermined (formerly 98),Undetermined
Cooking Area or Kitchen,0,0,75000,4,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Other Cooking Items (eg Toaster, Kettle, elec frying pan)",43.76718,-79.17012,Cabinetry,Other misuse of ignition source/material ignited
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,75000,4,Not applicable (bldg not classified by OBC OR detached/semi/town home),Candle,43.66552,-79.49921,Bedding,Improper handling of ignition source or ignited material
Undetermined  (formerly 98),0,0,75000,4,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.6904,-79.46251,Undetermined (formerly 98),Undetermined
Porch or Balcony,0,0,75000,4,No Fire alarm system,Undetermined,43.6849,-79.35194,Undetermined (formerly 98),"Unintentional, cause undetermined"
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,75000,4,Undetermined,Matches or Lighters (unable to distinguish),43.81208,-79.21244,"Mattress, Pillow",Undetermined
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",1,1,75000,5,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.67119,-79.32692,"Mattress, Pillow",Improper handling of ignition source or ignited material
"Living Area (e.g. living, TV, recreation, etc)",0,0,75000,5,No Fire alarm system,"Extension Cord, Temporary Wiring",43.80712365,-79.16915189,Electrical Wiring Insulation,Electrical Failure
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,75000,5,No Fire alarm system,"Cord, Cable for Appliance, Electrical Articles",43.72287,-79.44421,"Mattress, Pillow","Other unintentional cause, not classified"
Cooking Area or Kitchen,0,0,75000,5,No Fire alarm system,"Stove, Range-top burner",43.77987,-79.33166,"Cooking Oil, Grease",Unattended
"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,75000,5,Fire alarm system present,Undetermined,43.71207,-79.39442,Undetermined (formerly 98),Undetermined
Exterior Wall,0,0,75000,5,No Fire alarm system,Undetermined,43.67802,-79.42526,"Rubbish, Trash, Waste",Undetermined
Cooking Area or Kitchen,1,1,75000,6,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.68244107,-79.30892092,"Cooking Oil, Grease",Unattended
"Hallway, Corridor",1,1,75000,6,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.68664,-79.30857,Undetermined (formerly 98),Undetermined
Laundry Area,0,0,75000,6,No Fire alarm system,Other Appliances,43.64271565,-79.43749689,Multiple Objects or Materials,"Unintentional, cause undetermined"
Concealed Ceiling Area,0,0,75000,6,Not applicable (bldg not classified by OBC OR detached/semi/town home),Circuit Wiring - Copper,43.73457,-79.51192,Electrical Wiring Insulation,Electrical Failure
"Washroom or Bathroom (toilet,restroom/locker room)",0,0,75000,6,Fire alarm system present,"Blow Torch, Bunsen Burner",43.72489,-79.50961,Interior Wall/Ceiling,Design/Construction/Installation/Maintenance Deficiency
Garage,0,0,75000,6,Fire alarm system present,Other Open Flame Tools/Smokers' Articles,43.7743,-79.39833,"Rubbish, Trash, Waste",Improper handling of ignition source or ignited material
Cooking Area or Kitchen,1,0,75000,7,No Fire alarm system,"Stove, Range-top burner",43.76251571,-79.46302956,"Cooking Oil, Grease","Other unintentional cause, not classified"
"Supply Storage Room (inc maintenance/office/document storage, et",0,0,75000,11,Undetermined,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.66616068,-79.35291107,"Upholstered Sofa, Chair, etc.",Improperly Discarded
Cooking Area or Kitchen,0,0,75000,12,Fire alarm system present,"Extension Cord, Temporary Wiring",43.66588,-79.36863,Electrical Wiring Insulation,Electrical Failure
Roof,0,0,75000,20,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.64147,-79.42166,Undetermined (formerly 98),Undetermined
"Process Manufacturing (inc manf, prod assembly, repair)",0,0,75000,25,Fire alarm system present,Other Processing Equipment,43.66841,-79.46336,"Rubber, not classified above","Routine maintenance deficiency, eg creosote, lint, grease buildup"
"Conveyor Shaft or Chute (inc dumbwaiter, laundry chute, garbage",0,0,75000,30,Undetermined,Other Mechanical,43.76100964,-79.48479681,"Rubber, not classified above",Mechanical Failure
"Process Manufacturing (inc manf, prod assembly, repair)",0,0,75000,30,No Fire alarm system,Other Mechanical,43.76256,-79.5561,Other,Design/Construction/Installation/Maintenance Deficiency
"Closet (eg. clothes, broom, linen closet, etc.)",1,0,75000,40,Fire alarm system present,Undetermined,43.65699,-79.38588,Undetermined (formerly 98),Undetermined
Engine Area,0,0,75000,100,Fire alarm system present,Vehicle - Electrical,43.78054,-79.24703,Vehicle,Electrical Failure
"Stairway, Escalator",0,0,75000,110,Fire alarm system present,Lighters (open flame),43.746206,-79.30583798,"Paper, Cardboard",Suspected Youth Vandalism (Ages 12 to 17)
Concealed Floor Area,0,0,75000,997,Fire alarm system present,"Extension Cord, Temporary Wiring",43.64726,-79.37331,Undetermined (formerly 98),Electrical Failure
Chimney/Flue Pipe,0,0,75000,997,Fire alarm system present,Wood burning stove,43.73683,-79.57796,Interior Wall/Ceiling,Design/Construction/Installation/Maintenance Deficiency
Cooking Area or Kitchen,0,0,75000,997,Undetermined,Range Hood,43.79117,-79.41836,"Cooking Oil, Grease","Routine maintenance deficiency, eg creosote, lint, grease buildup"
"Ducting - Exhaust (inc cooking, fumes, etc.)",1,0,75000,997,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.74038,-79.52332,Insulation,"Other unintentional cause, not classified"
Laundry Area,0,0,75000,997,No Fire alarm system,Clothes Dryer,43.70653,-79.52316,Wearing Apparel on a Person,"Routine maintenance deficiency, eg creosote, lint, grease buildup"
Undetermined  (formerly 98),0,0,75000,997,Undetermined,Undetermined,43.60184,-79.51283,Undetermined (formerly 98),Undetermined
Cooking Area or Kitchen,0,0,75000,997,No Fire alarm system,"Stove, Range-top burner",43.71999,-79.42641,"Cooking Oil, Grease","Other unintentional cause, not classified"
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,78500,997,Undetermined,Space Heater - Portable,43.70016,-79.5162,"Rug, Carpet",Used or Placed too close to combustibles
Engine Area,0,0,80000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Under Investigation,43.70747321,-79.3436255,Gasoline,Suspected Arson
Garage,0,0,80000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Matches or Lighters (unable to distinguish),43.67397424,-79.43714098,"Paper, Cardboard",Suspected Arson
Other Storage Area,0,0,80000,0,Fire alarm system present,"Chemical Reaction (eg. spontaneous combustion, etc.)",43.66564155,-79.48853973,"Oily rags (inc. paint rags, etc)",Improper Storage
"Product Storage (inc products or materials awaiting manuf, assembly)",0,0,80000,0,Fire alarm system present,"Chemical Reaction (eg. spontaneous combustion, etc.)",43.76058661,-79.56606579,"Oily rags (inc. paint rags, etc)",Improperly Discarded
"Fuel Systems (eg. fuel tank, etc.)",0,0,80000,0,Undetermined,Cutting/Welding Equipment,43.70778524,-79.53362703,Vehicle,Other misuse of ignition source/material ignited
Concealed Ceiling Area,0,0,80000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.65436015,-79.50791108,Structural Member,"Unintentional, cause undetermined"
